FishID,ImagePath,PxPerCm,Length_truth (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm)
fish01,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish01\single image\fish1.jpg,46.0,20.80835491677989,3.7047248508619224,47.14461247637051,44.34499613098476
fish10,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish10\single image\fish10.jpg,44.0,20.44814786044034,4.850535999644887,63.729080578512395,46.71214876391671
fish11,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish11\single image\fish11.jpg,18.0,53.42566596137153,4.261470370822483,154.48302469135803,111.1429193549686
fish12,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish12\single image\fish12.jpg,51.0,18.82326492608762,1.4930370555204504,19.4838523644752,39.24059057235718
fish13,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish13\single image\fish13.jpg,44.0,15.863636363636363,3.022727272727273,29.099690082644628,35.125238716602325
fish14,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish14\single image\fish14.jpg,50.0,19.237239990234375,1.509253692626953,20.4362,39.918643424510954
fish15,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish15\single image\fish15.jpg,48.0,20.03411102294922,1.539608319600423,24.11176215277778,41.40093262990316
fish2,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish2\single image\fish2.jpg,39.0,24.59605212089343,3.237973922338241,56.95595003287311,52.13504557120494
fish3,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish3\single image\fish3.jpg,46.0,19.76003232209579,9.436867755392324,126.31828922495274,47.81281936686972
fish4,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish4\single image\fish4.jpg,18.0,50.16539849175347,6.066896226671007,177.2314814814815,102.69046473503113
fish5,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish5\single image\fish5.jpg,41.0,23.4393935785061,2.240617705554497,44.720999405116004,48.40197866718943
fish6,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish6\single image\fish6.jpg,94.0,11.581370252244016,0.8265122758581284,6.057831598008148,23.818794201029107
fish7,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish7\single image\fish7.jpg,18.0,53.27777777777778,13.777777777777779,694.0787037037037,129.75508018996982
fish8,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish8\single image\fish8.jpg,18.0,53.364593505859375,4.2527050442165795,172.08333333333334,110.72015271584193
fish9,C:\Users\shain\Downloads\FISH DATASET\fish dataset\fish9\single image\fish9.jpg,18.0,51.762230767144096,3.901777903238932,156.73765432098764,106.80509930186801
