FishID,ImagePath,PxPerCm,Length_truth (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm)
fish01,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish01\single image\fish1.jpg,46.0,20.80835491677989,3.7047248508619224,47.14461247637051,44.34499613098476
fish10,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish10\single image\fish10.jpg,44.0,20.44814786044034,4.850535999644887,63.729080578512395,46.71214876391671
fish11,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish11\single image\fish11.jpg,36.0,26.712832980685764,2.1307351854112415,38.620756172839506,55.5714596774843
fish12,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish12\single image\fish12.jpg,51.0,18.82326492608762,1.4930370555204504,19.4838523644752,39.24059057235718
fish13,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish13\single image\fish13.jpg,22.0,31.727272727272727,6.045454545454546,116.39876033057851,70.25047743320465
fish14,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish14\single image\fish14.jpg,50.0,19.237239990234375,1.509253692626953,20.4362,39.918643424510954
fish15,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish15\single image\fish15.jpg,48.0,20.03411102294922,1.539608319600423,24.11176215277778,41.40093262990316
fish2,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish2\single image\fish2.jpg,39.0,24.59605212089343,3.237973922338241,56.95595003287311,52.13504557120494
fish3,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish3\single image\fish3.jpg,46.0,19.76003232209579,9.436867755392324,126.31828922495274,47.81281936686972
fish4,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish4\single image\fish4.jpg,36.0,25.082699245876736,3.0334481133355036,44.307870370370374,51.345232367515564
fish5,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish5\single image\fish5.jpg,41.0,23.4393935785061,2.240617705554497,44.720999405116004,48.40197866718943
fish6,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish6\single image\fish6.jpg,47.0,23.16274050448803,1.6530245517162567,24.231326392032592,47.63758840205821
fish7,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish7\single image\fish7.jpg,36.0,26.63888888888889,6.888888888888889,173.51967592592592,64.87754009498491
fish8,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish8\single image\fish8.jpg,36.0,26.682296752929688,2.1263525221082897,43.020833333333336,55.36007635792097
fish9,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish9\single image\fish9.jpg,36.0,25.881115383572048,1.950888951619466,39.18441358024691,53.402549650934006
