FishID,ImagePath,PxPerCm_OLD,PxPerCm_NEW,Length_OLD_cm,Length_NEW_cm,Width_NEW_cm,Area_NEW_cm2,Perimeter_NEW_cm
fish01,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish01\single image\fish1.jpg,46.0,180.0,20.80835491677989,2.2944444444444443,1.4833333333333334,2.6622993827160495,6.187305592166053
fish2,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish2\single image\fish2.jpg,39.0,183.0,24.59605212089343,4.693989071038251,0.44808743169398907,1.8106990355041954,10.032634221790918
fish3,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish3\single image\fish3.jpg,46.0,22.0,19.76003232209579,40.99999445134943,7.727271340110085,287.474173553719,95.09018911014904
fish4,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish4\single image\fish4.jpg,36.0,12.0,25.082699245876736,75.16666666666667,13.416666666666666,862.5034722222222,172.74612446626028
fish5,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish5\single image\fish5.jpg,41.0,18.0,23.4393935785061,60.388888888888886,50.111111111111114,1984.8533950617284,194.11432173517017
fish6,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish6\single image\fish6.jpg,47.0,790.0,23.16274050448803,0.2737677272362045,0.180291748046875,0.0356577471559045,0.750224594526653
fish7,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish7\single image\fish7.jpg,36.0,185.0,26.63888888888889,1.1400490425728462,0.5951932752454603,0.505390796201607,2.783962256199605
fish8,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish8\single image\fish8.jpg,36.0,360.0,26.682296752929688,0.7861111111111111,0.39166666666666666,0.2305054012345679,1.9134188108974033
fish9,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish9\single image\fish9.jpg,36.0,47.0,25.881115383572048,3.9587136126579123,1.9662777515167886,5.722498868266184,9.808119860101254
fish10,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish10\single image\fish10.jpg,44.0,56.0,20.44814786044034,10.035714285714286,0.8392857142857143,6.051817602040816,20.78225907257625
fish11,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish11\single image\fish11.jpg,36.0,186.0,26.712832980685764,1.519514678626932,0.6837816546040196,0.7837033183026939,3.6094159016045193
fish13,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish13\single image\fish13.jpg,22.0,29.0,31.727272727272727,20.689655172413794,3.793103448275862,68.44292508917955,47.02968600700642
fish14,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish14\single image\fish14.jpg,50.0,10.0,19.23723999023437,22.51720428466797,11.241034698486327,178.15,54.95095868110657
fish15,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish15\single image\fish15.jpg,48.0,24.5,20.03411102294922,24.163260323660715,2.081632341657366,31.970012494793835,49.85183786859318
