FishID,Weight (g),Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm)
fish01,67.49,17.173074685567364,7.708789072704876,9.2,95.52521805081531,40.72068334962181
fish1+3+4+5,238.0,38.79673279445265,17.560690597746927,3.7333333333333334,465.2066742510428,92.11831140729376
fish1+3+4+5+15,247.61,39.660664673772274,16.177988493967636,8.266666666666666,496.8714448236632,95.56247730105498
fish10,17.7,7.963398359557498,5.647326965757531,6.8,35.61812665908228,23.05384586126192
fish11,13.0,9.830602339287577,6.426268616206846,7.266666666666667,48.644292756920734,28.725943764916195
fish12,15.28,9.72467841013264,7.399945679268489,4.933333333333334,54.96776640121349,28.725939319383457
fish13,13.88,9.152564392779446,6.728353128449488,5.333333333333333,52.199469093667034,27.463358075442347
fish14,12.32,7.20521026665616,5.233218742725381,6.466666666666667,31.721653394008335,21.70024899694475
fish15,9.61,20.58593788865761,11.354424177253236,3.7333333333333334,275.63519150549865,64.02860179541673
fish2,16.0,7.829105106519662,4.704059853785383,3.466666666666667,35.191505498672726,22.415693141648795
fish3,81.9,29.264818255393827,19.656890167175114,5.0,437.8934395145999,79.9484013736759
fish3+4,143.15,23.116658081751243,10.715076062011057,8.0,169.46340538490705,54.56209418225467
fish4,61.25,17.112943411499224,12.155850984092384,13.133333333333333,157.006067500948,48.177258116907936
fish5,27.36,38.41157053777488,12.118190380709482,4.0,403.8301099734546,95.36303699426799
fish6,13.78,7.20521026665616,5.647326965757531,5.2,32.0724307925673,21.534495428341366
fish7,18.32,8.56835815494246,7.0104748540438315,6.8,49.27948426241941,27.09641407622251
fish8,12.7,8.373622742330133,6.546802307018913,5.733333333333333,45.51573758058399,25.463649989692083
fish9,14.0,6.815739441431503,5.647326965757531,5.333333333333333,32.80242700037921,20.961592694551403
